Number of good map points:17967
Image index, timestamp, feature index, x, y
current frame timestamp:20170927.141260
653 20170927.141225 2629 722.608276 167.215134
703 20170927.141323 2828 670.054993 89.579544
717 20170927.141339 2973 648.555847 68.080452
683 20170927.141260 2964 691.554077 100.329086
0.487920 0.944377 8.875912 0 0 0 
Num of good obeservatiosn:25
583 20170927.141105 2137 773.452881 408.499268
604 20170927.141129 2143 783.820923 400.204865
600 20170927.141124 2130 781.747314 402.278442
587 20170927.141109 2155 773.452881 406.425659
579 20170927.141060 2123 769.305725 406.425659
596 20170927.141119 2128 779.673706 404.352051
614 20170927.141140 2358 791.285889 403.107910
609 20170927.141134 2350 788.797546 403.107910
592 20170927.141115 2386 778.844299 408.084534
624 20170927.141152 2550 793.774170 398.131256
633 20170927.141202 2761 800.243835 400.121918
629 20170927.141157 2364 796.262512 395.642944
643 20170927.141213 2753 803.229858 397.135956
665 20170927.141239 2941 799.049500 379.817261
671 20170927.141246 2688 797.257874 373.248077
648 20170927.141219 2765 803.229858 397.135956
659 20170927.141232 2941 799.049500 383.400421
731 20170927.141355 2981 763.217712 333.235901
703 20170927.141323 2947 784.716797 361.901337
696 20170927.141315 2835 788.299927 361.901337
677 20170927.141253 2826 795.466309 365.484528
689 20170927.141307 2835 791.883118 358.318176
717 20170927.141339 2978 773.967224 347.568604
710 20170927.141331 2976 777.550415 354.734985
683 20170927.141260 2871 799.049500 358.318176
0.530710 1.055414 8.740666 0 0 0 
Num of good obeservatiosn:22
596 20170927.141119 582 825.000000 489.000000
619 20170927.141146 1112 846.000061 496.800018
